id_poi;poi;poi_api;source;verdict;score
379;Descente de la Durdent en kayak ou en paddle;Aucun;Aucune;Inconnu;0
380;Les Deux Piliers;Aucun;Aucune;Inconnu;0
381;Exposition de peinture : Elisabeth Haloo Joye;Aucun;Aucune;Inconnu;0
382;Concert : Sclavine;Aucun;Aucune;Inconnu;0
383;Gîtes de France® - Gîte du Levant;Aucun;Aucune;Inconnu;0
384;Sure Hotel by BESTWESTERN Port Jérome Le Havre;Sure Hotel by Best Western Port Jérome - Le Havre;AccèsLibre;Oui;93
385;A l'Orée du Lin;Aucun;Aucune;Inconnu;0
386;Gîtes de France® - Le Petit Giteopré;Aucun;Aucune;Inconnu;0
387;Visite guidée : Les comices agricoles;Aucun;Aucune;Inconnu;0
388;MEDI-CAUX BUS du Pays de Caux;Aucun;Aucune;Inconnu;0
390;Le Genetey;Aucun;Aucune;Inconnu;0
391;[Foire à tout] En intérieur;Aucun;Aucune;Inconnu;0
392;L'Escale du Gros-Horloge;A la Cloche D'Argent - la Brulerie du Gros Horloge;AccèsLibre;Non;92
393;Appartement Superbe Vue Mer et Funiculaire;Aucun;Aucune;Inconnu;0
394;Gîtes de France® - François et Auguste;Aucun;Aucune;Inconnu;0
396;Les Toits de Dieppe;Dieppe GMS;AccèsLibre;Non;85
397;"Gîte ""le Bâtiment""";Aucun;Aucune;Inconnu;0
398;[Escape Game] Mémoires de la fôret;Aucun;Aucune;Inconnu;0
399;La Terre est Ronde pour Ceux qui S'aiment;Aucun;Aucune;Inconnu;0
400;Epicerie d'Yport;Yport;OSM;Inconnu;79
401;Aire de pique-nique de Martainville-Epreville;Aire de pique-nique de Martainville-Epreville;OSM;Inconnu;100
