id_poi;poi;found;best_score;best_match;nb_results
409;Atelier petit miroir rond;True;0.17760617760617758;Fonds Karin Waehner (1926-1999). Cahiers de notes. 1971-1980. « Notes pédago – Vichy 1972 – Bruges/Montpellier Pâques 73 – ateliers 1974-75 Schola-Colombes + dépareillés divers /// Brouillon du texte sur la communication (sans date) »;1
410;Gîtes de France® - Chez Mireille;False;0;;0
411;Cours de catamarans - Centre Nautique du Tréport;False;0;;0
412;Forêt domaniale d'Arques;True;0.3220338983050848;Plan general des Eaües et forrests dépendants de la maitrise d'Arques et Grurye de Neufchastel;5
413;Visite de Ville « Ferro et Aqua »;False;0;;0
414;Marché traditionnel;True;0.5352112676056338;Marché aux bestiaux, bretons en costume traditionnel;5
415;La Saurisserie;False;0;;0
416;La soirée de l'année ! Ebb'Flow en concert;False;0;;0
417;L'Espace Beauté de Sophie Coiffure;False;0;;0
418;Le Séchoir à Lin;False;0;;0
419;Auberge de la Forêt;True;0.37142857142857144;Amédé Fleury photographe de la Grande Guerre - 1918;5
420;Hôtel Restaurant le Scie-Gare;False;0;;0
421;Camping Les Prés de la Mer;False;0;;0
422;Résidence du bord de mer n°5;True;0.3516483516483516;The reconstruction of Guadeloupe four months after cyclone Hugo;2
